Team,Nationality,Position,Age,Potential,Name
RSC Anderlecht ,Belgium,Mediocampista | Mediocampista Ofensivo | Extremo Derecho,19,Muy Bueno,Yari Verschaeren
RCD Mallorca ,Japan,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,19,Muy Bueno,Takefusa Kubo
FC Barcelona ,Spain,Mediocampista,20,Muy Bueno,Riqui Puig
Ajax ,Netherlands,Mediocampista Defensivo | Mediocampista,18,Muy Bueno,Ryan Gravenberch
RSC Anderlecht ,Belgium,Extremo Derecho | Extremo Izquierdo,18,Muy Bueno,Jérémy Doku
Inter ,Italy,Delantero Centro,18,Muy Bueno,Sebastiano Esposito
Liverpool ,England,Extremo Derecho,17,Muy Bueno,Harvey Elliott
Leicester City ,England,Delantero Centro,33,Muy Bueno,Jamie Vardy
Manchester City ,Algeria,Mediocampista Derecho | Extremo Derecho,29,Muy Bueno,Riyad Mahrez
Napoli ,Italy,Mediocampista Izquierdo | Mediapunta | Extremo Izquierdo,29,Muy Bueno,Lorenzo Insigne
Atlético Madrid ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista,28,Muy Bueno,Koke
FC Bayern München ,Spain,Mediocampista Defensivo | Mediocampista,29,Muy Bueno,Thiago
FC Barcelona ,Spain,Lateral Izquierdo,31,Muy Bueno,Jordi Alba
Juventus ,Italy,Defensor Central,33,Muy Bueno,Leonardo Bonucci
Tottenham Hotspur ,Belgium,Defensor Central,31,Muy Bueno,Toby Alderweireld
Juventus ,Bosnia & Herzegovina,Mediocampista Defensivo | Mediocampista,30,Muy Bueno,Miralem Pjanic
Paris Saint-Germain ,Uruguay,Delantero Centro,33,Muy Bueno,Edinson Cavani
Borussia Mönchengladbach ,Switzerland,Arquero,31,Muy Bueno,Yann Sommer
Atalanta ,Argentina,Delantero Centro | Mediocampista Ofensivo | Mediapunta,32,Muy Bueno,Alejandro Gómez
Lazio ,Spain,Mediocampista | Mediocampista Ofensivo | Mediapunta,27,Muy Bueno,Luis Alberto
Inter ,Netherlands,Defensor Central,28,Muy Bueno,Stefan de Vrij
Borussia Dortmund ,Switzerland,Arquero,29,Muy Bueno,Roman Bürki
RB Leipzig ,Hungary,Arquero,30,Muy Bueno,Péter Gulácsi
Leicester City ,Portugal,Lateral Derecho,26,Muy Bueno,Ricardo Pereira
Olympique Lyonnais ,Portugal,Arquero,29,Muy Bueno,Anthony Lopes
Guangzhou Evergrande Taobao FC ,Brazil,Mediocampista Ofensivo | Extremo Derecho,26,Muy Bueno,Anderson Talisca
Napoli ,Poland,Delantero Centro,26,Muy Bueno,Arkadiusz Milik
Manchester United ,England,Defensor Central,27,Muy Bueno,Harry Maguire
Everton ,France,Lateral Izquierdo,27,Muy Bueno,Lucas Digne
