Team,Nationality,Position,Age,Potential,Name
Valenciennes FC ,France,Delantero Centro | Extremo Derecho,33,Bueno,Teddy Chevalier
Yeni Malatyaspor ,Netherlands,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,31,Bueno,Mitchell Donald
1. FC Nürnberg ,Austria,Defensor Central,31,Bueno,Georg Margreitter
Perugia ,Serbia,Defensor Central,31,Bueno,Slobodan Rajkovic
Sparta Praha ,Cameroon,Defensor Central | Mediocampista Defensivo,31,Bueno,Georges Mandjeck
Stade Malherbe Caen ,France,Defensor Central,33,Bueno,Anthony Weber
FC Lorient ,France,Mediocampista Defensivo | Mediocampista,33,Bueno,Fabien Lemoine
Club Alianza Lima ,Uruguay,Mediocampista,34,Bueno,Luís Aguiar
FC Augsburg ,Czech Republic,Mediocampista | Mediocampista Ofensivo,30,Bueno,Jan Morávek
Çaykur Rizespor ,Czech Republic,Delantero Centro,34,Bueno,Milan Škoda
Gimnasia y Esgrima La Plata ,Paraguay,Delantero Centro,35,Bueno,Lucas Barrios
West Ham United ,Colombia,Defensor Central | Mediocampista Defensivo,34,Bueno,Carlos Sánchez
Gil Vicente FC ,Brazil,Arquero,33,Bueno,Denis
Antalyaspor ,Russia,Lateral Izquierdo | Defensor Central | Carrilero Izquierdo | Extremo Izquierdo,33,Bueno,Fedor Kudryashov
Vitesse ,Slovenia,Delantero Centro,31,Bueno,Tim Matavz
Olympique Lyonnais ,France,Defensor Central,31,Bueno,Mapou Yanga-Mbiwa
Sydney FC ,Australia,Defensor Central,35,Bueno,Alex Wilkinson
Stade Rennais FC ,Sweden,Mediocampista Defensivo | Mediocampista,30,Bueno,Jakob Johansson
Free Agents ,Bolivia,Delantero Centro,33,Bueno,Marcelo Martins
Viktoria Plzen ,Czech Republic,Lateral Izquierdo | Mediocampista Izquierdo,31,Bueno,Adam Hloušek
Viktoria Plzen ,Czech Republic,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,32,Bueno,Tomáš Horava
LA Galaxy ,Argentina,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo,31,Bueno,Emiliano Insúa
Esbjerg fB ,Italy,Arquero,32,Bueno,Vito Mannone
Boavista FC ,Brazil,Arquero,39,Bueno,Bracali
Racing Club ,Argentina,Arquero,33,Bueno,Javier García
Club Atlético Banfield ,Italy,Delantero Centro,34,Bueno,Pablo Daniel Osvaldo
Sassuolo ,Italy,Lateral Izquierdo | Defensor Central,36,Bueno,Federico Peluso
Parma ,Italy,Lateral Derecho | Defensor Central,33,Bueno,Simone Iacoponi
Legia Warszawa ,Poland,Lateral Derecho | Defensor Central,32,Bueno,Artur Jedrzejczyk
Antalyaspor ,Turkey,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,35,Bueno,Hakan Özmert
AS Saint-Étienne ,France,Carrilero Derecho | Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,31,Bueno,Kévin Monnet-Paquet
Eintracht Frankfurt ,Netherlands,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,32,Bueno,Jonathan de Guzmán
Club Atlético Banfield ,Argentina,Mediocampista Derecho | Mediocampista Izquierdo,34,Bueno,Nicolás Bertolo
FC Cincinnati ,Bosnia & Herzegovina,Mediocampista Defensivo | Mediocampista,35,Bueno,Haris Medunjanin
Cruz Azul ,Mexico,Lateral Derecho | Defensor Central,32,Bueno,Julio César Domínguez
Free Agents ,Slovenia,Defensor Central | Carrilero Izquierdo | Extremo Izquierdo,34,Bueno,Bojan Jokic
Birmingham City ,England,Delantero Centro,31,Bueno,Lukas Jutkiewicz
Santa Clara ,Portugal,Arquero,33,Bueno,Marco Pereira
Independiente Medellín ,Colombia,Mediocampista Derecho | Mediocampista Ofensivo | Extremo Derecho,31,Bueno,Javier Reina
Once Caldas ,Paraguay,Delantero Centro,34,Bueno,Roberto Ovelar
Jeonbuk Hyundai Motors ,Korea Republic,Lateral Derecho | Lateral Izquierdo,33,Bueno,Choi Chul Soon
SV Zulte Waregem ,Belgium,Delantero Centro,31,Bueno,Jelle Vossen
Boavista FC ,Angola,Extremo Derecho | Extremo Izquierdo,36,Bueno,Mateus
Parma ,Italy,Mediocampista,32,Bueno,Antonino Barillà
Frosinone ,Italy,Delantero Centro,33,Bueno,Federico Dionisi
KV Mechelen ,Belgium,Mediocampista Derecho | Mediocampista Ofensivo,34,Bueno,Onur Kaya
Club River Plate Asunción ,Uruguay,Lateral Izquierdo,34,Bueno,Álvaro Pereira
AFC Bournemouth ,England,Lateral Izquierdo,33,Bueno,Charlie Daniels
Stoke City ,England,Defensor Central,32,Bueno,Ryan Shawcross
SPAL ,Italy,Delantero Centro,38,Bueno,Sergio Floccari
Fortuna Düsseldorf ,Austria,Lateral Izquierdo | Carrilero Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,33,Bueno,Markus Suttner
Shonan Bellmare ,Norway,Delantero Centro | Mediocampista,32,Bueno,Tarik Elyounoussi
Preston North End ,England,Mediocampista Izquierdo,31,Bueno,Scott Sinclair
PFC CSKA Moscow ,Russia,Lateral Derecho | Lateral Izquierdo | Defensor Central,33,Bueno,Kirill Nababkin
Fortuna Düsseldorf ,Germany,Mediocampista | Mediocampista Ofensivo,38,Bueno,Oliver Fink
Rayo Vallecano ,Portugal,Mediocampista Derecho | Mediocampista Izquierdo,30,Bueno,Bebé
Rayo Vallecano ,Argentina,Delantero Centro,34,Bueno,Leonardo Ulloa
Al Nassr ,Australia,Arquero,38,Bueno,Brad Jones
Atlanta United ,United States,Arquero,35,Bueno,Brad Guzan
Malmö FF ,Sweden,Arquero,33,Bueno,Johan Dahlin
Club Atlético Peñarol ,Spain,Delantero Centro,34,Bueno,Xisco
SC Braga ,Portugal,Arquero,37,Bueno,Eduardo
Derby County ,England,Defensor Central,35,Bueno,Curtis Davies
Burnley ,Scotland,Lateral Derecho,35,Bueno,Phil Bardsley
Heart of Midlothian ,Scotland,Delantero Centro | Mediocampista Izquierdo | Mediocampista Ofensivo,33,Bueno,Steven Naismith
Colo-Colo ,Argentina,Defensor Central,35,Bueno,Julio Barroso
Universidad de Chile ,Chile,Lateral Izquierdo,36,Bueno,Jean Beausejour
RB Leipzig ,Germany,Arquero,34,Bueno,Philipp Tschauner
KAA Gent ,Ghana,Lateral Izquierdo,34,Bueno,Nana Asare
CF Fuenlabrada ,Spain,Defensor Central,37,Bueno,Juanma
Atlético Tucumán ,Argentina,Arquero,42,Bueno,Cristian Lucchetti
Deportivo Toluca ,Mexico,Arquero,37,Bueno,Alfredo Talavera
Charlton Athletic ,Republic of Ireland,Mediocampista Izquierdo,34,Bueno,Aiden McGeady
Millwall ,Poland,Arquero,33,Bueno,Bartosz Bialkowski
Portimonense SC ,Portugal,Delantero Centro,33,Bueno,Ricardo Vaz Tê
Stade Rennais FC ,France,Arquero,36,Bueno,Romain Salin
Crotone ,Italy,Arquero,37,Bueno,Alex Cordaz
RC Deportivo ,Spain,Arquero,36,Bueno,Dani Giménez
Universidad de Chile ,Argentina,Mediocampista Ofensivo,36,Bueno,Walter Montillo
Unión de Santa Fe ,Argentina,Defensor Central,35,Bueno,Jonathan Bottinelli
SV Zulte Waregem ,Belgium,Arquero,34,Bueno,Sammy Bossut
Argentinos Juniors ,Uruguay,Delantero Centro,39,Bueno,Santiago Silva
Genoa ,Italy,Arquero,37,Bueno,Federico Marchetti
Viktoria Plzen ,Czech Republic,Defensor Central,36,Bueno,Roman Hubník
Górnik Zabrze ,Spain,Delantero Centro,36,Bueno,Angulo
Galatasaray SK ,Turkey,Mediocampista Defensivo | Mediocampista,35,Bueno,Selçuk Inan
Sivasspor ,Ivory Coast,Delantero Centro,36,Bueno,Arouna Koné
FC Red Bull Salzburg ,Germany,Arquero,37,Bueno,Alexander Walke
Impact Montréal ,France,Defensor Central,38,Bueno,Rod Fanni
UD Las Palmas ,Spain,Delantero Centro,39,Bueno,Rubén Castro
Coquimbo Unido ,Chile,Delantero Centro,36,Bueno,Mauricio Pinilla
FC Augsburg ,Switzerland,Carrilero Derecho | Lateral Derecho | Defensor Central | Extremo Derecho,36,Bueno,Stephan Lichtsteiner
AFC Bournemouth ,Poland,Arquero,40,Bueno,Artur Boruc
Everton ,Netherlands,Arquero,37,Bueno,Maarten Stekelenburg
SPAL ,Brazil,Defensor Central,35,Bueno,Felipe
Independiente Santa Fe ,Argentina,Delantero Centro,27,Bueno,Patricio Cucchi
Al Ain FC ,United Arab Emirates,Arquero,30,Bueno,Khalid Eissa
Marítimo ,Croatia,Mediocampista Defensivo | Mediocampista,28,Bueno,Josip Vukovic
LASK Linz ,Austria,Extremo Derecho | Extremo Izquierdo,26,Bueno,Dominik Frieser
FC Paços de Ferreira ,Portugal,Mediocampista | Mediocampista Ofensivo,27,Bueno,Pedrinho
Hokkaido Consadole Sapporo ,Japan,Defensor Central,27,Bueno,Akito Fukumori
F.C. Tokyo ,Japan,Mediocampista Defensivo | Mediocampista,26,Bueno,Kento Hashimoto
Hokkaido Consadole Sapporo ,Japan,Delantero Centro | Mediapunta,26,Bueno,Musashi Suzuki
Standard de Liège ,Cameroon,Lateral Derecho | Lateral Izquierdo,27,Bueno,Collins Fai
Vitória Guimarães ,Brazil,Arquero,29,Bueno,Jhonatan
FC Basel 1893 ,Switzerland,Mediocampista Izquierdo,26,Bueno,Kevin Bua
1. FC Heidenheim 1846 ,Austria,Mediocampista Izquierdo | Mediocampista,28,Bueno,Konstantin Kerschbaumer
Ettifaq FC ,Central African Rep.,Defensor Central,29,Bueno,Cédric Yambéré
Gençlerbirligi SK ,Turkey,Carrilero Derecho | Lateral Derecho | Extremo Derecho,27,Bueno,Ahmet Oguz
Al Ahli ,Saudi Arabia,Defensor Central,28,Bueno,Motaz Hawsawi
Pescara ,Bulgaria,Mediocampista Defensivo | Mediocampista,27,Bueno,Ivaylo Chochev
Spartak Moscow ,Russia,Mediocampista Izquierdo | Extremo Izquierdo,27,Bueno,Reziuan Mirzov
Club Atlético Huracán ,Argentina,Lateral Derecho,27,Bueno,Gonzalo Bettini
Kasimpasa SK ,Turkey,Mediocampista Defensivo | Mediocampista,27,Bueno,Aytaç Kara
Jeonbuk Hyundai Motors ,Korea Republic,Mediocampista Defensivo | Mediocampista,28,Bueno,Son Jun Ho
Gazisehir Gaziantep Futbol Kulübü ,Ghana,Delantero Centro | Mediocampista Izquierdo,26,Bueno,Patrick Twumasi
D.C. United ,United States,Defensor Central,29,Bueno,Steve Birnbaum
Houston Dynamo ,Argentina,Defensor Central,27,Bueno,Víctor Cabrera
Extremadura UD ,Spain,Delantero Centro,27,Bueno,Alex Alegría
Gençlerbirligi SK ,Brazil,Mediocampista Defensivo | Mediocampista,28,Bueno,Fabrício Baiano
Nagoya Grampus ,Brazil,Delantero Centro | Mediocampista Derecho | Mediapunta,27,Bueno,Gabriel Xavier
Club Atlético Central Córdoba ,Argentina,Mediocampista Derecho | Mediocampista,28,Bueno,Marcelo Meli
Preston North End ,Wales,Lateral Izquierdo,28,Bueno,Andrew Hughes
Once Caldas ,Colombia,Mediocampista,27,Bueno,Juan Rodríguez
Vancouver Whitecaps FC ,Peru,Delantero Centro | Mediocampista Ofensivo | Extremo Derecho,26,Bueno,Yordy Reyna
HJK Helsinki ,Finland,Mediocampista Defensivo | Mediocampista Izquierdo | Mediocampista,29,Bueno,Rasmus Schüller
Pachuca ,Mexico,Lateral Derecho,27,Bueno,Raúl López
Al Ain FC ,Kazakhstan,Mediocampista Izquierdo | Mediocampista Ofensivo,27,Bueno,Bauyrzhan Islamkhan
New York City FC ,Libya,Carrilero Izquierdo | Mediocampista Derecho | Extremo Derecho | Extremo Izquierdo,26,Bueno,Ismael Tajouri-Shradi
Chicago Fire Soccer Club ,Costa Rica,Defensor Central,28,Bueno,Francisco Calvo
Cagliari ,Italy,Lateral Derecho | Mediocampista Derecho | Mediocampista,27,Bueno,Paolo Faragò
Al Hilal ,Saudi Arabia,Mediocampista Defensivo | Mediocampista,27,Bueno,Abdullah Ateef
SV Sandhausen ,Germany,Mediocampista Defensivo | Mediocampista,28,Bueno,Denis Linsmayer
Universidad Católica ,Chile,Lateral Derecho | Lateral Izquierdo,27,Bueno,Stefano Magnasco
ESTAC Troyes ,France,Mediocampista Defensivo | Mediocampista,28,Bueno,Florian Tardieu
Philadelphia Union ,Poland,Delantero Centro,27,Bueno,Kacper Przybylko
CD Mirandés ,Venezuela,Lateral Derecho,27,Bueno,Alexander González
Sint-Truidense VV ,DR Congo,Lateral Derecho | Mediocampista Derecho | Mediocampista Ofensivo,27,Bueno,Jordan Botaka
Gamba Osaka ,Brazil,Delantero Centro | Mediocampista Izquierdo,26,Bueno,Ademilson
Hull City ,England,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Marcus Maddison
Brescia ,Italy,Lateral Derecho,27,Bueno,Stefano Sabelli
Fiorentina ,Italy,Arquero,30,Bueno,Pietro Terracciano
Cádiz CF ,Honduras,Delantero Centro,27,Bueno,Anthony Lozano
FC Utrecht ,Netherlands,Delantero Centro | Mediocampista | Mediocampista Ofensivo,27,Bueno,Sander van de Streek
Ascoli ,Italy,Delantero Centro | Extremo Derecho,27,Bueno,Marcello Trotta
Middlesbrough ,DR Congo,Delantero Centro,27,Bueno,Britt Assombalonga
Rio Ave FC ,Brazil,Extremo Derecho | Extremo Izquierdo,26,Bueno,Lucas Piazón
IFK Norrköping ,Sweden,Delantero Centro | Extremo Derecho,27,Bueno,Christoffer Nyman
Western United FC ,Australia,Carrilero Derecho | Lateral Derecho | Extremo Derecho,28,Bueno,Josh Risdon
Hammarby IF ,Sweden,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,28,Bueno,Abdul Khalili
Bristol City ,DR Congo,Delantero Centro,27,Bueno,Benik Afobe
LA Galaxy ,United States,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,27,Bueno,Sebastian Lletget
Suwon Samsung Bluewings ,Australia,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,26,Bueno,Terry Antonis
FC Nantes ,France,Lateral Derecho,28,Bueno,Dennis Appiah
KAS Eupen ,Spain,Defensor Central | Mediocampista Defensivo,28,Bueno,Jordi Amat
Sheffield Wednesday ,England,Mediocampista Izquierdo | Extremo Derecho | Extremo Izquierdo,27,Bueno,Kadeem Harris
Girona FC ,Spain,Defensor Central,27,Bueno,Ignasi Miquel
CD Lugo ,France,Defensor Central,29,Bueno,Mathieu Peybernès
Barnsley ,Austria,Mediocampista Izquierdo | Mediocampista,27,Bueno,Marcel Ritzmaier
Sheffield Wednesday ,England,Defensor Central,29,Bueno,Tom Lees
FC Red Bull Salzburg ,Austria,Lateral Derecho | Lateral Izquierdo | Mediocampista Derecho,27,Bueno,Patrick Farkas
SpVgg Greuther Fürth ,Norway,Delantero Centro | Mediocampista Ofensivo,27,Bueno,Håvard Nielsen
Bristol City ,Norway,Mediocampista Defensivo | Mediocampista,28,Bueno,Markus Henriksen
Servette FC ,France,Defensor Central,29,Bueno,Vincent Sasso
Orlando Pirates ,South Africa,Delantero Centro | Mediocampista | Mediocampista Ofensivo,27,Bueno,Fortune Makaringe
Shakhtar Donetsk ,Ukraine,Arquero,28,Bueno,Oleksiy Shevchenko
Piast Gliwice ,Slovakia,Arquero,28,Bueno,František Plach
Free Agents ,Egypt,Arquero,28,Bueno,Mohamed Awad
IFK Göteborg ,Greece,Arquero,29,Bueno,Giannis Anestis
Sint-Truidense VV ,Japan,Arquero,28,Bueno,Daniel Schmidt
F.C. Tokyo ,Japan,Lateral Derecho,26,Bueno,Sei Muroya
Hokkaido Consadole Sapporo ,Korea Republic,Defensor Central,26,Bueno,Kim Min Tae
KSV Cercle Brugge ,Greece,Defensor Central,27,Bueno,Dimitris Chatziisaias
Flamengo ,Brazil,Mediocampista Derecho | Extremo Derecho,20,Bueno,Leôncio Lobeiro
Vasco da Gama ,Brazil,Mediocampista | Mediocampista Ofensivo,20,Bueno,Bruno Fagundeiro
Palmeiras ,Brazil,Defensor Central,24,Bueno,João Barnierie
Palmeiras ,Brazil,Lateral Izquierdo,20,Bueno,Antonaldo Vaz
Vasco da Gama ,Brazil,Lateral Derecho | Lateral Izquierdo,20,Bueno,Vanderlei Cõembra
Konyaspor ,Bosnia & Herzegovina,Delantero Centro,26,Bueno,Riad Bajic
Hokkaido Consadole Sapporo ,Brazil,Delantero Centro | Mediapunta,26,Bueno,Anderson Lopes
Racing Club ,Argentina,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,26,Bueno,Nicolás Oroz
Galatasaray SK ,Turkey,Defensor Central,26,Bueno,Ahmet Çalik
OGC Nice ,France,Arquero,26,Bueno,Yoan Cardinale
Club Alianza Lima ,Uruguay,Delantero Centro,26,Bueno,Adrián Balboa
Royal Antwerp FC ,Senegal,Defensor Central,28,Bueno,Abdoulaye Seck
Vitória Setúbal ,Brazil,Defensor Central,28,Bueno,Bruno Pirri
Puebla ,Mexico,Delantero Centro | Mediocampista Izquierdo,26,Bueno,Ángel Zaldívar
América de Cali ,Colombia,Arquero,28,Bueno,Eder Chaux
Jeonbuk Hyundai Motors ,Korea Republic,Defensor Central,28,Bueno,Koo Ja Ryong
Gazisehir Gaziantep Futbol Kulübü ,Turkey,Arquero,29,Bueno,Günay Güvenç
Hull City ,Australia,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,27,Bueno,Jackson Irvine
D.C. United ,Peru,Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Edison Flores
Fleetwood Town ,Scotland,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,Barrie McKay
AJ Auxerre ,France,Arquero,28,Bueno,Mathieu Michel
DSC Arminia Bielefeld ,Germany,Defensor Central | Mediocampista Defensivo,28,Bueno,Brian Behrendt
Royal Antwerp FC ,Belgium,Delantero Centro,26,Bueno,Zinho Gano
FC Seoul ,Korea Republic,Arquero,28,Bueno,Yang Han Been
Charlton Athletic ,Wales,Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Jonathan Williams
Alanyaspor ,England,Defensor Central,28,Bueno,Steven Caulker
Western United FC ,Poland,Arquero,29,Bueno,Filip Kurto
Aston Villa ,England,Arquero,27,Bueno,Jed Steer
Toulouse Football Club ,Norway,Defensor Central,28,Bueno,Ruben Gabrielsen
Sporting Kansas City ,Israel,Mediocampista | Mediocampista Ofensivo,26,Bueno,Gadi Kinda
Cruz Azul ,Ecuador,Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Jonathan Borja
LDU Quito ,Ecuador,Defensor Central,27,Bueno,Moisés Corozo
SD Ponferradina ,Spain,Lateral Derecho,26,Bueno,Son
AEK Athens ,Greece,Arquero,27,Bueno,Giorgos Athanasiadis
Santos Laguna ,Ecuador,Mediocampista Derecho,25,Bueno,Eryc Castillo
CD Palestino ,Chile,Lateral Derecho | Defensor Central,26,Bueno,Guillermo Soto
Salerno ,Brazil,Lateral Izquierdo,26,Bueno,Felipe Curcio
Pachuca ,Ecuador,Delantero Centro | Mediocampista Izquierdo,25,Bueno,Romario Ibarra
Trabzonspor ,Ghana,Delantero Centro | Mediocampista Derecho | Mediocampista Ofensivo,26,Bueno,Caleb Ekuban
1. FC Nürnberg ,Slovakia,Delantero Centro,26,Bueno,Adam Zrelák
Portimonense SC ,Brazil,Defensor Central,26,Bueno,Lucas Possignolo
Hallescher FC ,Germany,Delantero Centro | Defensor Central | Mediocampista Ofensivo,26,Bueno,Sebastian Mai
FC Luzern ,Brazil,Defensor Central,28,Bueno,Lucas
Cúcuta Deportivo ,Colombia,Arquero,27,Bueno,Juan Camilo Chaverra
San Jose Earthquakes ,United States,Lateral Derecho | Lateral Izquierdo,25,Bueno,Nick Lima
Granada CF ,Spain,Defensor Central,27,Bueno,Martínez
AD Alcorcón ,Spain,Defensor Central | Mediocampista Defensivo,27,Bueno,Elgezabal
SV Darmstadt 98 ,Serbia,Delantero Centro | Extremo Derecho | Extremo Izquierdo,26,Bueno,Ognjen Ozegovic
Patronato ,Argentina,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,25,Bueno,Lautaro Comas
Heracles Almelo ,Syria,Mediocampista Defensivo | Mediocampista,26,Bueno,Mohammed Osman
SV Sandhausen ,Austria,Arquero,27,Bueno,Martin Fraisl
Sangju Sangmu FC ,Korea Republic,Mediocampista Defensivo | Mediocampista,26,Bueno,Park Yong Woo
La Equidad ,Colombia,Mediocampista Ofensivo,26,Bueno,Carlos Rodríguez
1. FC Union Berlin ,Netherlands,Extremo Derecho,25,Bueno,Sheraldo Becker
Racing Club ,Argentina,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,25,Bueno,Héctor Fertoli
Suwon Samsung Bluewings ,Korea Republic,Arquero,28,Bueno,No Dong Geon
Angers SCO ,France,Lateral Izquierdo,26,Bueno,Théo Pellenard
Sporting Charleroi ,Senegal,Defensor Central,26,Bueno,Modou Diagne
UD Almería ,Spain,Mediocampista Defensivo | Mediocampista,27,Bueno,Aguza
Crotone ,Italy,Mediocampista Defensivo | Mediocampista,26,Bueno,Andrea Barberis
Sheffield Wednesday ,England,Delantero Centro | Mediocampista Ofensivo | Extremo Izquierdo,26,Bueno,Josh Windass
Stade Malherbe Caen ,France,Mediocampista Defensivo | Mediocampista,26,Bueno,Jessy Pi
Huachipato FC ,Chile,Mediocampista Defensivo | Mediocampista,27,Bueno,Sebastián Martínez
Curicó Unido ,Colombia,Defensor Central,27,Bueno,Héctor Urrego
Millonarios FC ,Colombia,Arquero,26,Bueno,Jefferson Martínez
Club Alianza Lima ,Peru,Mediocampista Defensivo | Mediocampista,28,Bueno,Carlos Ascues
Charlton Athletic ,Senegal,Lateral Izquierdo | Defensor Central,26,Bueno,Mouhamadou-Naby Sarr
Gallos Blancos de Querétaro ,Mexico,Lateral Derecho | Mediocampista Defensivo | Mediocampista,27,Bueno,Jaime Gómez
CF Fuenlabrada ,Spain,Delantero Centro,26,Bueno,Caye Quintana
Athletic Club ,Bosnia & Herzegovina,Delantero Centro | Mediocampista Ofensivo,26,Bueno,Kenan Kodro
Wellington Phoenix ,Germany,Mediocampista Defensivo | Mediocampista,25,Bueno,Matti Steinmann
Dundalk ,Northern Ireland,Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Michael Duffy
AJ Auxerre ,Mali,Mediocampista Defensivo | Mediocampista,28,Bueno,Birama Touré
KSV Cercle Brugge ,Tunisia,Arquero,25,Bueno,Mouez Hassen
Millwall ,Scotland,Lateral Izquierdo | Defensor Central,27,Bueno,Murray Wallace
PEC Zwolle ,Finland,Defensor Central,26,Bueno,Thomas Lam
Luton Town ,England,Defensor Central,26,Bueno,Matty Pearson
SV Darmstadt 98 ,Germany,Mediocampista Defensivo | Mediocampista,26,Bueno,Fabian Schnellhardt
AJ Auxerre ,Guinea,Delantero Centro,27,Bueno,Mohamed Yattara
New England Revolution ,Central African Rep.,Mediocampista Defensivo | Mediocampista,26,Bueno,Wilfried Zahibo
Free Agents ,Bulgaria,Arquero,28,Bueno,Plamen Iliev
SPAL ,Italy,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,26,Bueno,Mattia Valoti
Bristol Rovers ,England,Arquero,26,Bueno,Jamal Blackman
Reading ,England,Lateral Izquierdo | Defensor Central | Carrilero Izquierdo | Extremo Izquierdo,26,Bueno,Tyler Blackett
Brentford ,Ecuador,Mediocampista Ofensivo | Extremo Derecho,25,Bueno,Joel Valencia
Sunderland ,England,Mediocampista Defensivo | Mediocampista,27,Bueno,Josh Scowen
Göztepe SK ,Turkey,Lateral Derecho | Defensor Central | Mediocampista Defensivo,27,Bueno,Alpaslan Öztürk
Hull City ,England,Arquero,26,Bueno,George Long
Suwon Samsung Bluewings ,Canada,Defensor Central,27,Bueno,Doneil Henry
Molde FK ,Norway,Mediocampista Defensivo | Mediocampista,27,Bueno,Etzaz Hussain
Barcelona Guayaquil ,Ecuador,Delantero Centro,23,Bueno,Angel Quiñónez
Club Alianza Lima ,Peru,Lateral Derecho,25,Bueno,Aldair Salazar
Club Nacional de Football ,Uruguay,Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Ayrton Cougo
Marítimo ,Serbia,Defensor Central,24,Bueno,Dejan Kerkez
Lokomotiv Moscow ,Russia,Lateral Izquierdo | Mediocampista Izquierdo,22,Bueno,Mikhail Lysov
1. FC Kaiserslautern ,Germany,Delantero Centro | Mediocampista Izquierdo,24,Bueno,Florian Pick
FC Midtjylland ,Guinea,Delantero Centro,25,Bueno,Sory Kaba
R. Zaragoza ,Spain,Arquero,27,Bueno,Ratón
FC Twente ,Spain,Lateral Izquierdo,25,Bueno,Matos
Guaraní (Paraguay) ,Argentina,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,Bautista Merlini
Urawa Red Diamonds ,Japan,Defensor Central,26,Bueno,Takuya Iwanami
Minnesota United FC ,United States,Arquero,27,Bueno,Tyler Miller
SSV Jahn Regensburg ,Germany,Mediocampista Derecho | Mediocampista Ofensivo,25,Bueno,Sebastian Stolze
Marítimo ,France,Mediocampista Defensivo | Mediocampista,25,Bueno,Franck Bambock
Chievo Verona ,Slovakia,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista,25,Bueno,Dávid Ivan
Panathinaikos FC ,Hungary,Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Dominik Nagy
SV Mattersburg ,Austria,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Andreas Gruber
Fortuna Sittard ,Netherlands,Defensor Central,25,Bueno,Wessel Dammers
Kasimpasa SK ,Turkey,Defensor Central | Mediocampista Defensivo | Mediocampista,26,Bueno,Tarkan Serbest
Sport-Club Freiburg ,Australia,Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Brandon Borrello
Gil Vicente FC ,Brazil,Mediocampista Defensivo | Mediocampista,25,Bueno,João Afonso
Odds BK ,Norway,Mediocampista,24,Bueno,Vebjørn Hoff
Pordenone ,Italy,Mediocampista Ofensivo | Mediapunta,25,Bueno,Patrick Ciurria
Clermont Foot 63 ,Benin,Defensor Central,26,Bueno,Cédric Hountondji
Havre Athletic Club ,Algeria,Mediocampista Defensivo,26,Bueno,Victor Lekhal
Cremona ,Sweden,Mediocampista,25,Bueno,Samuel Gustafson
FC Emmen ,Belgium,Defensor Central | Mediocampista Defensivo,26,Bueno,Michael Heylen
Derby County ,England,Defensor Central | Mediocampista Defensivo,25,Bueno,George Evans
Wisla Kraków ,Kazakhstan,Mediocampista Defensivo | Mediocampista,25,Bueno,Georgiy Zhukov
Brentford ,Denmark,Delantero Centro | Mediocampista Ofensivo | Extremo Izquierdo,25,Bueno,Emiliano Marcondes
FK Austria Wien ,Austria,Arquero,25,Bueno,Ivan Lucic
1. FC Union Berlin ,Denmark,Arquero,26,Bueno,Jakob Busk
FC Zürich ,Switzerland,Arquero,27,Bueno,Yanick Brecher
Deportivo Toluca ,Mexico,Mediocampista Defensivo,26,Bueno,Kevin Escamilla
Rosenborg BK ,Norway,Defensor Central,27,Bueno,Gustav Valsvik
Cardiff City ,England,Defensor Central,27,Bueno,Curtis Nelson
Barnsley ,Austria,Arquero,27,Bueno,Samuel Sahin-Radlinger
Standard de Liège ,Israel,Mediocampista Defensivo | Mediocampista,25,Bueno,Eden Shamir
CS Emelec ,Ecuador,Lateral Derecho | Lateral Izquierdo | Defensor Central,22,Bueno,Bryan Carabali
Club Atlético Grau ,Peru,Mediocampista Defensivo,23,Bueno,Enmanuel Páucar
Club Nacional de Football ,Paraguay,Defensor Central,25,Bueno,Miguel Jacquet
Toronto FC ,Venezuela,Mediocampista Derecho | Extremo Derecho,24,Bueno,Erickson Gallardo
